outcome,model,term,coef,std_err,t,p_value,nobs,r2,adj_r2
StockReturn_annual_compound_w,C1_covid_exposure_2020_2022,z_annual_mean_covid_overall_exposure_main_hcr,-0.05183346495453179,0.023064104111052332,-2.2473652002677684,0.02461669711877322,836,0.5420285120452808,0.5387138812518812
StockReturn_annual_compound_w,C1_covid_exposure_2020_2022,z_log_assets,-0.009714843781044907,0.024227152340509213,-0.40098991596305444,0.6884275482502564,836,0.5420285120452808,0.5387138812518812
StockReturn_annual_compound_w,C2_ai_x_covid_exposure_2020_2022,z_traditional,0.023432268758465127,0.02522055318575654,0.9290941632358264,0.3528402890677118,836,0.5447965832657377,0.540948245201559
StockReturn_annual_compound_w,C2_ai_x_covid_exposure_2020_2022,z_ai,0.07221290501291745,0.026705286416713946,2.7040677971430336,0.006849631214755493,836,0.5447965832657377,0.540948245201559
StockReturn_annual_compound_w,C2_ai_x_covid_exposure_2020_2022,z_annual_mean_covid_overall_exposure_main_hcr,-0.04411921327628273,0.022781687618155255,-1.9366086488308754,0.05279319993859355,836,0.5447965832657377,0.540948245201559
StockReturn_annual_compound_w,C2_ai_x_covid_exposure_2020_2022,z_ai:z_annual_mean_covid_overall_exposure_main_hcr,-0.06551753194371132,0.03039926220315478,-2.1552342785777223,0.031143505766311058,836,0.5447965832657377,0.540948245201559
StockReturn_annual_compound_w,C2_ai_x_covid_exposure_2020_2022,z_log_assets,-0.012907376439496444,0.024200829368372,-0.5333443843195333,0.5937952087566462,836,0.5447965832657377,0.540948245201559
StockReturn_annual_compound_w,C3_traditional_x_covid_exposure_2020_2022,z_traditional,0.01932926437177255,0.02530454530358942,0.7638653111475082,0.4449475112717114,836,0.5433888543966232,0.5395286152429715
StockReturn_annual_compound_w,C3_traditional_x_covid_exposure_2020_2022,z_ai,0.07530295477230481,0.027149894872269705,2.773600234055328,0.005543975861105522,836,0.5433888543966232,0.5395286152429715
StockReturn_annual_compound_w,C3_traditional_x_covid_exposure_2020_2022,z_annual_mean_covid_overall_exposure_main_hcr,-0.04954150006235579,0.022714500574509747,-2.181051698664744,0.029179592838932296,836,0.5433888543966232,0.5395286152429715
StockReturn_annual_compound_w,C3_traditional_x_covid_exposure_2020_2022,z_traditional:z_annual_mean_covid_overall_exposure_main_hcr,-0.04531623584605991,0.02648893781847925,-1.7107607770684687,0.08712528295339154,836,0.5433888543966232,0.5395286152429715
StockReturn_annual_compound_w,C3_traditional_x_covid_exposure_2020_2022,z_log_assets,-0.011375507773968827,0.024229659332866183,-0.46948690518890557,0.6387216426754376,836,0.5433888543966232,0.5395286152429715
